year,week,district,age_cases
2024,47,KATHMANDU,13
2024,48,KATHMANDU,23
2024,48,PARSA,20
2024,48,PALPA,18
2024,48,RUPANDEHI,17
2024,48,ARGHAKHANCHI,14
2024,49,RUPANDEHI,19
2024,49,PARSA,18
2024,49,PALPA,15
2024,49,KATHMANDU,14
2024,49,KAILALI,13
2024,50,PALPA,42
2024,50,PARSA,19
2024,50,KATHMANDU,15
2024,50,KAILALI,13
2024,50,ARGHAKHANCHI,11
2024,51,PALPA,18
2024,51,KATHMANDU,17
2024,51,RUPANDEHI,13
2024,51,PARSA,13
2024,51,LALITPUR,10
2024,52,KATHMANDU,27
2024,52,PALPA,23
2024,52,RUPANDEHI,17
2024,52,GULMI,12
2024,52,BHAKTAPUR,12
2025,8,KATHMANDU,36
2025,8,PARSA,30
2025,8,KAILALI,12
2025,8,KASKI,12
2025,8,OKHALDHUNGA,11
2025,10,PARSA,34
2025,10,KATHMANDU,31
2025,10,BHAKTAPUR,22
2025,10,RAUTAHAT,13
2025,10,BARA,12
2025,11,PARSA,37
2025,11,KATHMANDU,28
2025,11,TANAHU,16
2025,11,LALITPUR,16
2025,11,BARA,14
2025,12,KATHMANDU,46
2025,12,PARSA,41
2025,12,KAILALI,27
2025,12,BHAKTAPUR,19
2025,12,SAPTARI,19
2025,13,KATHMANDU,40
2025,13,PARSA,39
2025,13,KAILALI,34
2025,13,RUPANDEHI,16
2025,13,SANKHUWASABHA,14
2025,14,PARSA,44
2025,14,KATHMANDU,42
2025,14,KAILALI,33
2025,14,RUKUM WEST,16
2025,14,BARA,16
2025,15,KAILALI,39
2025,15,PARSA,37
2025,15,KATHMANDU,33
2025,15,RUPANDEHI,32
2025,15,CHITAWAN,22
2025,16,PARSA,50
2025,16,KATHMANDU,41
2025,16,KAILALI,29
2025,16,RUPANDEHI,23
2025,16,DHADING,20
2025,17,KATHMANDU,52
2025,17,KAILALI,44
2025,17,PARSA,39
2025,17,RUPANDEHI,31
2025,17,BHAKTAPUR,28
2025,18,KAILALI,77
2025,18,KATHMANDU,42
2025,18,PARSA,39
2025,18,RUPANDEHI,26
2025,18,BHAKTAPUR,22
2025,19,KATHMANDU,53
2025,19,PARSA,46
2025,19,KAILALI,31
2025,19,RUPANDEHI,28
2025,19,RUKUM WEST,23
2025,20,KATHMANDU,67
2025,20,KAILALI,44
2025,20,PARSA,44
2025,20,RUPANDEHI,37
2025,20,BHAKTAPUR,26
2025,21,KATHMANDU,82
2025,21,KAILALI,43
2025,21,PARSA,38
2025,21,RUPANDEHI,29
2025,21,LALITPUR,23
2025,22,KATHMANDU,95
2025,22,PARSA,44
2025,22,KAILALI,40
2025,22,RUPANDEHI,36
2025,22,BHAKTAPUR,30
2025,23,KATHMANDU,108
2025,23,BHAKTAPUR,49
2025,23,LALITPUR,45
2025,23,PARSA,43
2025,23,KAILALI,35
2025,24,KATHMANDU,107
2025,24,LALITPUR,60
2025,24,BHAKTAPUR,55
2025,24,PARSA,49
2025,24,KAVREPALANCHOK,37
2025,25,KATHMANDU,126
2025,25,PARSA,37
2025,25,LALITPUR,35
2025,25,KAILALI,32
2025,25,KAVREPALANCHOK,32
2025,26,KATHMANDU,78
2025,26,PARSA,40
2025,26,LALITPUR,34
2025,26,BHAKTAPUR,29
2025,26,ARGHAKHANCHI,21
2025,27,KATHMANDU,87
2025,27,PARSA,36
2025,27,BHAKTAPUR,29
2025,27,KAILALI,28
2025,27,LALITPUR,24
2025,28,KATHMANDU,64
2025,28,PARSA,39
2025,28,LALITPUR,38
2025,28,BHAKTAPUR,27
2025,28,KAILALI,22
2025,29,KATHMANDU,57
2025,29,KAILALI,38
2025,29,LALITPUR,31
2025,29,BHAKTAPUR,30
2025,29,PARSA,23
2025,30,KATHMANDU,80
2025,30,PARSA,50
2025,30,BHAKTAPUR,32
2025,30,KAILALI,25
2025,30,RUPANDEHI,23
2025,31,KATHMANDU,48
2025,31,KAILALI,30
2025,31,MAKWANPUR,28
2025,31,PARSA,27
2025,31,LALITPUR,23
2025,32,KATHMANDU,45
2025,32,KAILALI,34
2025,32,ARGHAKHANCHI,30
2025,32,PARSA,24
2025,32,BHAKTAPUR,22
2025,33,KATHMANDU,55
2025,33,PARSA,40
2025,33,MAKWANPUR,21
2025,33,KAILALI,18
2025,33,BHAKTAPUR,15
2025,34,KATHMANDU,48
2025,34,MAKWANPUR,32
2025,34,PARSA,28
2025,34,KAILALI,23
2025,34,BHAKTAPUR,20
2025,35,PARSA,153
2025,35,KATHMANDU,77
2025,35,BARA,30
2025,35,MAKWANPUR,25
2025,35,LALITPUR,24
2025,36,PARSA,98
2025,36,KATHMANDU,54
2025,36,BARA,40
2025,36,BHAKTAPUR,21
2025,36,ARGHAKHANCHI,17
2025,37,PARSA,101
2025,37,KATHMANDU,41
2025,37,BARA,19
2025,37,RUPANDEHI,18
2025,37,KASKI,16
2025,38,KATHMANDU,24
2025,38,BHAKTAPUR,21
2025,38,KAILALI,20
2025,38,MAKWANPUR,18
2025,38,TANAHU,14
2025,39,KATHMANDU,52
2025,39,PARSA,37
2025,39,KAILALI,23
2025,39,BARA,19
2025,39,BHAKTAPUR,14
2025,40,KATHMANDU,25
2025,40,BHAKTAPUR,22
2025,40,PARSA,17
2025,40,BARA,14
2025,40,SIRAHA,14
2025,41,PARSA,38
2025,41,KATHMANDU,33
2025,41,BHAKTAPUR,26
2025,41,BARA,18
2025,41,KAILALI,15
2025,42,KATHMANDU,37
2025,42,PARSA,28
2025,42,MAKWANPUR,12
2025,42,LALITPUR,11
2025,42,BARA,11
2025,43,KATHMANDU,23
2025,43,PARSA,20
2025,43,KAILALI,12
2025,43,BHAKTAPUR,11
2025,43,RAUTAHAT,8
2025,44,PARSA,26
2025,44,KAILALI,18
2025,44,BARA,18
2025,44,KATHMANDU,17
2025,44,SALYAN,9
2025,45,PARSA,24
2025,45,KATHMANDU,17
2025,45,BARA,13
2025,45,KAILALI,12
2025,45,SINDHULI,12
2025,46,PARSA,23
2025,46,KATHMANDU,17
2025,46,KAPILBASTU,13
2025,46,KAVREPALANCHOK,9
2025,46,BHAKTAPUR,9
2025,48,PARSA,23
2025,48,KATHMANDU,22
2025,48,KAVREPALANCHOK,14
2025,48,KAILALI,12
2025,48,SANKHUWASABHA,9
2025,49,KATHMANDU,22
2025,49,PARSA,16
2025,49,SANKHUWASABHA,15
2025,49,KAILALI,14
2025,49,CHITAWAN,10
2025,50,PARSA,29
2025,50,KATHMANDU,17
2025,50,KAILALI,16
2025,50,LALITPUR,14
2025,50,BARA,13
2025,51,PARSA,20
2025,51,KATHMANDU,18
2025,51,KAVREPALANCHOK,17
2025,51,KAILALI,13
2025,51,LALITPUR,13
