,rainfall_mm,temp_c,humidity_pct,year,week
2021-07-22,5.03,22.9,88.61,2021,28
2021-07-23,6.81,24.29,86.71,2021,28
2021-07-24,4.73,24.01,85.48,2021,28
2021-07-25,7.68,23.3,92.68,2021,28
2021-07-26,20.84,23.21,92.58,2021,29
2021-07-27,13.52,23.09,90.7,2021,29
2021-07-28,16.17,23.11,89.88,2021,29
2021-07-29,14.12,22.93,91.4,2021,29
2021-07-30,4.83,23.12,87.41,2021,29
2021-07-31,4.09,22.63,88.58,2021,29
2021-08-01,2.5,23.16,89.76,2021,29
2021-08-02,6.81,23.05,91.93,2021,30
2021-08-03,31.94,22.99,91.22,2021,30
2021-08-04,10.11,22.14,90.34,2021,30
2021-08-05,3.18,23.56,82.26,2021,30
2021-08-06,7.88,24.16,81.44,2021,30
2021-08-07,15.0,22.79,90.03,2021,30
2021-08-08,22.82,22.63,90.69,2021,30
2021-08-09,7.94,22.91,91.49,2021,31
2021-08-10,4.3,23.26,92.89,2021,31
2021-08-11,4.21,23.26,93.95,2021,31
2021-08-12,9.05,23.24,92.46,2021,31
2021-08-13,17.5,23.07,89.37,2021,31
2021-08-14,28.23,22.75,93.24,2021,31
2021-08-15,15.87,22.66,92.01,2021,31
2021-08-16,7.39,22.99,92.18,2021,32
2021-08-17,10.06,22.65,94.89,2021,32
2021-08-18,11.02,22.1,94.49,2021,32
2021-08-19,11.34,22.41,90.49,2021,32
2021-08-20,3.83,21.75,91.9,2021,32
2021-08-21,3.65,21.29,92.78,2021,32
2021-08-22,7.9,21.74,90.6,2021,32
2021-08-23,16.17,21.85,93.68,2021,33
2021-08-24,13.58,22.33,92.67,2021,33
2021-08-25,11.93,22.47,93.97,2021,33
2021-08-26,27.05,22.33,95.48,2021,33
2021-08-27,24.22,22.04,97.14,2021,33
2021-08-28,15.89,21.74,94.52,2021,33
2021-08-29,15.48,21.53,92.71,2021,33
2021-08-30,7.07,21.04,90.27,2021,34
2021-08-31,7.3,21.31,93.51,2021,34
2021-09-01,2.86,22.26,89.11,2021,34
2021-09-02,10.95,22.2,93.6,2021,34
2021-09-03,5.39,21.73,95.23,2021,34
2021-09-04,2.71,22.18,88.05,2021,34
2021-09-05,12.32,22.94,90.78,2021,34
2021-09-06,39.73,22.05,90.68,2021,35
2021-09-07,8.28,21.41,92.45,2021,35
2021-09-08,8.59,21.45,91.85,2021,35
2021-09-09,1.35,21.47,94.46,2021,35
2021-09-10,0.46,22.41,86.92,2021,35
2021-09-11,0.15,22.57,87.7,2021,35
2021-09-12,0.59,23.06,87.19,2021,35
2021-09-13,3.06,23.06,87.03,2021,36
2021-09-14,0.75,21.58,88.45,2021,36
2021-09-15,4.38,21.0,89.12,2021,36
2021-09-16,3.75,21.02,87.71,2021,36
2021-09-17,4.01,21.22,88.21,2021,36
2021-09-18,1.17,21.89,92.15,2021,36
2021-09-19,1.54,22.59,91.62,2021,36
2021-09-20,5.72,22.48,90.86,2021,37
2021-09-21,8.56,22.09,91.77,2021,37
2021-09-22,8.97,21.09,91.89,2021,37
2021-09-23,1.73,21.08,91.89,2021,37
2021-09-24,0.34,21.79,89.71,2021,37
2021-09-25,2.57,22.07,91.37,2021,37
2021-09-26,5.23,22.39,86.22,2021,37
2021-09-27,3.4,22.28,85.78,2021,38
2021-09-28,5.22,21.33,89.34,2021,38
2021-09-29,3.46,20.65,93.9,2021,38
2021-09-30,2.99,20.97,91.13,2021,38
2021-10-01,3.11,20.99,88.25,2021,38
2021-10-02,8.67,20.7,89.83,2021,38
2021-10-03,10.13,21.16,84.93,2021,38
2021-10-04,9.68,21.14,92.41,2021,39
2021-10-05,9.09,21.43,90.28,2021,39
2021-10-06,0.73,21.11,92.04,2021,39
2021-10-07,0.98,21.25,92.44,2021,39
2021-10-08,1.78,21.11,92.91,2021,39
2021-10-09,1.62,20.77,92.31,2021,39
2021-10-10,0.16,21.26,91.01,2021,39
2021-10-11,0.0,21.22,89.11,2021,40
2021-10-12,0.0,22.68,82.5,2021,40
2021-10-13,0.0,23.06,79.68,2021,40
2021-10-14,0.0,23.07,81.48,2021,40
2021-10-15,0.12,22.58,90.19,2021,40
2021-10-16,3.75,21.86,89.22,2021,40
2021-10-17,14.93,21.13,93.96,2021,40
2021-10-18,15.3,20.08,92.08,2021,41
2021-10-19,30.73,19.35,91.0,2021,41
2021-10-20,10.96,20.54,91.67,2021,41
2021-10-21,0.78,19.23,87.4,2021,41
2021-10-22,0.56,18.76,89.32,2021,41
2021-10-23,0.32,17.77,93.57,2021,41
2021-10-24,0.5,18.11,92.4,2021,41
2021-10-25,0.12,18.1,90.7,2021,42
2021-10-26,0.22,18.1,86.2,2021,42
2021-10-27,0.01,17.78,81.66,2021,42
2021-10-28,0.0,18.1,78.49,2021,42
2021-10-29,0.0,17.5,86.77,2021,42
2021-10-30,0.0,17.6,82.85,2021,42
2021-10-31,0.0,16.54,87.99,2021,42
2021-11-01,0.0,16.06,85.73,2021,43
2021-11-02,0.0,16.5,85.22,2021,43
2021-11-03,0.0,16.09,80.7,2021,43
2021-11-04,0.0,15.81,74.85,2021,43
2021-11-05,0.0,15.49,74.51,2021,43
2021-11-06,0.0,15.54,77.85,2021,43
2021-11-07,0.0,15.49,82.81,2021,43
2021-11-08,0.0,16.0,81.53,2021,44
2021-11-09,0.0,16.53,85.97,2021,44
2021-11-10,0.0,16.73,89.53,2021,44
2021-11-11,0.0,16.31,88.83,2021,44
2021-11-12,0.0,15.75,83.5,2021,44
2021-11-13,0.03,15.2,84.1,2021,44
2021-11-14,0.41,15.2,82.51,2021,44
2021-11-15,0.12,14.8,83.04,2021,45
2021-11-16,0.0,14.82,83.77,2021,45
2021-11-17,0.0,14.91,84.91,2021,45
2021-11-18,0.0,16.04,83.55,2021,45
2021-11-19,0.0,16.02,82.68,2021,45
2021-11-20,0.24,16.18,81.2,2021,45
2021-11-21,0.0,15.78,77.94,2021,45
2021-11-22,0.0,14.59,79.81,2021,46
2021-11-23,0.0,13.13,82.4,2021,46
2021-11-24,0.0,12.92,87.36,2021,46
2021-11-25,0.0,13.18,89.64,2021,46
2021-11-26,0.0,12.75,89.64,2021,46
2021-11-27,0.0,12.92,89.15,2021,46
2021-11-28,0.0,13.98,85.61,2021,46
2021-11-29,0.0,13.9,85.39,2021,47
2021-11-30,0.0,14.12,82.08,2021,47
2021-12-01,0.0,15.14,79.52,2021,47
2021-12-02,0.03,15.68,83.65,2021,47
2021-12-03,0.41,15.61,84.99,2021,47
2021-12-04,0.23,15.67,81.64,2021,47
2021-12-05,0.12,15.85,81.67,2021,47
2021-12-06,0.07,15.21,81.29,2021,48
2021-12-07,0.03,14.67,76.14,2021,48
2021-12-08,0.0,14.41,61.73,2021,48
2021-12-09,0.0,13.86,61.85,2021,48
2021-12-10,0.0,12.48,66.72,2021,48
2021-12-11,0.0,11.61,74.77,2021,48
2021-12-12,0.0,10.79,80.06,2021,48
2021-12-13,0.0,10.99,68.94,2021,49
2021-12-14,0.0,12.2,69.05,2021,49
2021-12-15,0.0,12.34,65.32,2021,49
2021-12-16,0.0,12.31,58.18,2021,49
2021-12-17,0.0,12.93,46.45,2021,49
2021-12-18,0.0,11.77,56.21,2021,49
2021-12-19,0.0,10.41,56.12,2021,49
2021-12-20,0.0,10.33,63.36,2021,50
2021-12-21,0.0,10.83,64.82,2021,50
2021-12-22,0.0,10.8,70.02,2021,50
2021-12-23,0.0,10.48,80.34,2021,50
2021-12-24,0.12,10.85,80.29,2021,50
2021-12-25,0.12,9.19,86.15,2021,50
2021-12-26,0.09,9.93,82.58,2021,50
2021-12-27,0.39,10.43,80.7,2021,51
2021-12-28,1.77,10.33,77.89,2021,51
2021-12-29,18.55,7.7,92.16,2021,51
2021-12-30,6.92,9.51,77.87,2021,51
2021-12-31,0.0,10.42,70.2,2021,51
2022-01-01,0.0,10.72,74.2,2021,51
2022-01-02,0.0,10.41,68.84,2021,51
2022-01-03,0.0,10.69,68.28,2021,52
2022-01-04,0.0,10.62,69.01,2021,52
2022-01-05,0.01,11.26,72.97,2021,52
2022-01-06,0.19,11.58,77.98,2021,52
2022-01-07,0.12,12.28,76.18,2021,52
2022-01-08,0.0,13.34,73.85,2021,52
2022-01-09,0.0,13.45,70.57,2021,52
2022-01-10,0.01,12.14,76.36,2022,1
2022-01-11,0.33,12.24,70.52,2022,1
2022-01-12,0.79,11.28,71.92,2022,1
2022-01-13,0.32,9.42,82.76,2022,1
2022-01-14,0.13,9.91,76.82,2022,1
2022-01-15,0.0,9.76,77.29,2022,1
2022-01-16,0.0,9.1,72.33,2022,1
2022-01-17,0.0,10.18,66.11,2022,2
2022-01-18,0.0,11.23,65.27,2022,2
2022-01-19,0.0,10.18,72.24,2022,2
2022-01-20,0.25,10.05,76.19,2022,2
2022-01-21,1.72,9.53,79.18,2022,2
2022-01-22,0.06,9.81,74.26,2022,2
2022-01-23,0.06,8.84,83.77,2022,2
2022-01-24,0.1,9.94,80.96,2022,3
2022-01-25,0.26,10.14,74.39,2022,3
2022-01-26,0.33,8.06,80.37,2022,3
2022-01-27,0.0,7.7,77.93,2022,3
2022-01-28,0.0,6.9,82.84,2022,3
2022-01-29,0.0,8.08,68.48,2022,3
2022-01-30,0.0,8.97,71.27,2022,3
2022-01-31,0.01,10.04,73.03,2022,4
2022-02-01,0.05,9.42,77.97,2022,4
2022-02-02,0.02,9.43,64.36,2022,4
2022-02-03,7.11,9.75,68.69,2022,4
2022-02-04,25.41,7.42,93.25,2022,4
2022-02-05,4.77,6.74,86.71,2022,4
2022-02-06,0.01,7.64,74.33,2022,4
2022-02-07,0.0,9.49,75.53,2022,5
2022-02-08,0.0,9.67,79.23,2022,5
2022-02-09,0.01,11.02,73.17,2022,5
2022-02-10,0.03,10.22,80.0,2022,5
2022-02-11,0.02,9.7,78.84,2022,5
2022-02-12,0.0,9.53,65.06,2022,5
2022-02-13,0.0,10.83,72.84,2022,5
2022-02-14,0.0,11.83,71.48,2022,6
2022-02-15,0.0,12.72,73.32,2022,6
2022-02-16,0.0,12.27,73.27,2022,6
2022-02-17,0.0,11.62,69.2,2022,6
2022-02-18,0.0,12.02,64.18,2022,6
2022-02-19,0.15,11.97,63.51,2022,6
2022-02-20,1.31,10.46,62.94,2022,6
2022-02-21,0.43,10.09,64.48,2022,7
2022-02-22,0.0,11.59,57.66,2022,7
2022-02-23,0.0,12.76,59.26,2022,7
2022-02-24,0.0,14.33,58.46,2022,7
2022-02-25,0.19,12.94,66.99,2022,7
2022-02-26,0.04,12.83,64.12,2022,7
2022-02-27,0.0,13.85,58.03,2022,7
2022-02-28,0.0,13.91,53.49,2022,8
2022-03-01,0.0,15.01,46.04,2022,8
2022-03-02,0.06,14.72,55.62,2022,8
2022-03-03,0.0,15.38,54.01,2022,8
2022-03-04,0.05,15.71,50.41,2022,8
2022-03-05,0.01,15.57,54.0,2022,8
2022-03-06,0.0,16.97,49.17,2022,8
2022-03-07,0.0,18.86,45.69,2022,9
2022-03-08,0.0,18.93,43.6,2022,9
2022-03-09,0.0,18.88,43.19,2022,9
2022-03-10,0.0,18.88,42.7,2022,9
2022-03-11,0.0,18.36,44.03,2022,9
2022-03-12,0.0,18.33,46.43,2022,9
2022-03-13,0.0,18.93,50.76,2022,9
2022-03-14,0.0,20.65,47.27,2022,10
2022-03-15,0.03,20.87,48.26,2022,10
2022-03-16,1.4,21.12,52.66,2022,10
2022-03-17,1.0,21.44,51.6,2022,10
2022-03-18,0.0,22.57,49.31,2022,10
2022-03-19,0.0,23.16,48.43,2022,10
2022-03-20,0.01,22.66,47.65,2022,10
2022-03-21,0.39,21.47,51.41,2022,11
2022-03-22,4.4,21.96,47.41,2022,11
2022-03-23,0.95,21.17,46.05,2022,11
2022-03-24,0.83,20.14,46.15,2022,11
2022-03-25,0.23,20.3,40.4,2022,11
2022-03-26,0.0,20.65,35.19,2022,11
2022-03-27,0.0,21.13,36.37,2022,11
2022-03-28,0.03,20.71,37.89,2022,12
2022-03-29,0.11,20.27,42.7,2022,12
2022-03-30,1.19,20.33,51.08,2022,12
2022-03-31,2.31,20.51,58.32,2022,12
2022-04-01,0.01,21.44,48.49,2022,12
2022-04-02,0.79,22.4,46.02,2022,12
2022-04-03,3.72,21.75,58.65,2022,12
2022-04-04,0.35,23.02,42.89,2022,13
2022-04-05,0.26,23.27,29.27,2022,13
2022-04-06,0.02,23.06,31.76,2022,13
2022-04-07,0.43,22.5,40.22,2022,13
2022-04-08,1.05,22.61,43.13,2022,13
2022-04-09,2.55,22.23,47.6,2022,13
2022-04-10,5.03,21.53,53.99,2022,13
2022-04-11,0.31,22.95,47.51,2022,14
2022-04-12,0.38,22.5,45.29,2022,14
2022-04-13,0.18,22.77,42.46,2022,14
2022-04-14,0.85,23.99,34.15,2022,14
2022-04-15,0.06,23.74,28.36,2022,14
2022-04-16,0.02,23.42,25.89,2022,14
2022-04-17,0.01,23.57,25.62,2022,14
2022-04-18,0.06,24.33,27.35,2022,15
2022-04-19,2.54,23.23,40.68,2022,15
2022-04-20,6.78,22.27,55.61,2022,15
2022-04-21,0.76,21.21,62.08,2022,15
2022-04-22,2.71,22.83,54.18,2022,15
2022-04-23,0.39,23.59,38.93,2022,15
2022-04-24,0.01,24.32,27.36,2022,15
2022-04-25,0.0,24.86,25.25,2022,16
2022-04-26,0.06,24.87,30.11,2022,16
2022-04-27,0.1,25.17,27.6,2022,16
2022-04-28,2.3,24.74,31.07,2022,16
2022-04-29,1.04,24.77,37.91,2022,16
2022-04-30,8.5,23.3,51.49,2022,16
2022-05-01,0.93,23.62,49.79,2022,16
2022-05-02,24.21,21.5,68.14,2022,17
2022-05-03,4.72,21.48,73.89,2022,17
2022-05-04,2.0,21.03,78.96,2022,17
2022-05-05,12.82,19.66,84.54,2022,17
2022-05-06,2.49,20.35,77.85,2022,17
2022-05-07,0.27,21.88,67.96,2022,17
2022-05-08,6.93,21.61,74.02,2022,17
2022-05-09,5.52,21.49,74.54,2022,18
2022-05-10,7.11,22.1,72.69,2022,18
2022-05-11,4.73,23.07,71.46,2022,18
2022-05-12,1.08,23.73,65.64,2022,18
2022-05-13,5.63,23.19,71.11,2022,18
2022-05-14,0.15,23.71,64.02,2022,18
2022-05-15,1.06,24.66,57.73,2022,18
2022-05-16,6.88,24.58,61.13,2022,19
2022-05-17,2.81,24.35,60.56,2022,19
2022-05-18,0.61,24.45,47.28,2022,19
2022-05-19,1.78,24.42,48.93,2022,19
2022-05-20,5.67,24.27,54.99,2022,19
2022-05-21,3.6,24.29,51.51,2022,19
2022-05-22,9.7,23.49,50.5,2022,19
2022-05-23,7.68,22.49,53.94,2022,20
2022-05-24,1.55,22.62,57.64,2022,20
2022-05-25,16.13,22.66,63.63,2022,20
2022-05-26,12.23,21.63,63.83,2022,20
2022-05-27,0.7,22.13,57.47,2022,20
2022-05-28,3.43,22.14,62.74,2022,20
2022-05-29,0.33,22.8,64.06,2022,20
2022-05-30,1.75,23.79,62.59,2022,21
2022-05-31,2.33,24.23,60.29,2022,21
2022-06-01,2.65,25.3,56.16,2022,21
2022-06-02,0.38,25.2,51.77,2022,21
2022-06-03,5.36,25.11,51.42,2022,21
2022-06-04,4.94,25.12,55.04,2022,21
2022-06-05,4.75,24.51,58.47,2022,21
2022-06-06,15.46,24.21,63.97,2022,22
2022-06-07,6.62,24.75,60.86,2022,22
2022-06-08,13.48,24.21,64.37,2022,22
2022-06-09,5.87,24.49,65.19,2022,22
2022-06-10,0.73,24.71,58.23,2022,22
2022-06-11,5.28,24.52,59.23,2022,22
2022-06-12,3.36,24.57,64.23,2022,22
2022-06-13,2.54,24.98,61.75,2022,23
2022-06-14,13.21,24.47,67.76,2022,23
2022-06-15,22.47,24.28,73.72,2022,23
2022-06-16,11.21,23.73,82.31,2022,23
2022-06-17,12.93,23.38,83.87,2022,23
2022-06-18,21.64,23.43,82.12,2022,23
2022-06-19,6.58,23.33,78.65,2022,23
2022-06-20,12.83,23.28,73.21,2022,24
2022-06-21,4.04,22.42,75.91,2022,24
2022-06-22,1.46,22.95,79.45,2022,24
2022-06-23,5.41,23.21,82.88,2022,24
2022-06-24,11.83,23.26,84.85,2022,24
2022-06-25,5.82,22.78,87.56,2022,24
2022-06-26,11.22,22.25,84.58,2022,24
2022-06-27,11.34,22.78,87.97,2022,25
2022-06-28,18.9,22.01,92.7,2022,25
2022-06-29,5.43,21.1,93.86,2022,25
2022-06-30,1.41,21.67,88.01,2022,25
2022-07-01,14.67,23.02,86.35,2022,25
2022-07-02,9.36,22.88,87.64,2022,25
2022-07-03,2.18,22.93,86.84,2022,25
2022-07-04,2.5,23.45,88.51,2022,26
2022-07-05,0.77,23.15,89.1,2022,26
2022-07-06,3.84,24.11,85.5,2022,26
2022-07-07,7.98,23.95,87.7,2022,26
2022-07-08,22.21,23.39,89.46,2022,26
2022-07-09,4.11,23.31,85.65,2022,26
2022-07-10,3.64,23.78,82.71,2022,26
2022-07-11,2.88,23.53,87.21,2022,27
2022-07-12,2.64,23.81,86.6,2022,27
2022-07-13,1.35,23.33,85.24,2022,27
2022-07-14,0.52,24.07,83.61,2022,27
2022-07-15,0.05,23.77,80.13,2022,27
2022-07-16,0.01,24.27,82.35,2022,27
2022-07-17,1.57,24.45,80.56,2022,27
2022-07-18,9.98,23.53,85.12,2022,28
2022-07-19,5.22,23.37,86.85,2022,28
2022-07-20,15.27,23.48,84.45,2022,28
2022-07-21,19.06,22.54,92.21,2022,28
2022-07-22,12.78,23.06,86.71,2022,28
2022-07-23,12.76,23.05,85.58,2022,28
2022-07-24,8.78,22.07,87.41,2022,28
2022-07-25,8.49,21.73,89.15,2022,29
2022-07-26,20.6,21.97,88.25,2022,29
2022-07-27,16.54,22.15,87.03,2022,29
2022-07-28,14.42,22.62,84.75,2022,29
2022-07-29,6.86,22.01,83.91,2022,29
2022-07-30,9.5,22.17,84.55,2022,29
2022-07-31,21.54,22.61,88.51,2022,29
2022-08-01,22.83,22.05,94.92,2022,30
2022-08-02,15.24,21.63,93.06,2022,30
2022-08-03,2.07,22.87,85.14,2022,30
2022-08-04,3.87,22.37,93.5,2022,30
